BASE_K,MIN_SIGMA,LINEAR_WINDOW,MAX_AGGRESSION,INVENTORY_SKEW,days,total_pnl,mean_daily_pnl,simple_sharpe_mean,max_drawdown,submitted_buy_orders,submitted_sell_orders,submitted_orders,realized_buy_fills,realized_sell_fills,realized_fills,signal_buy_ticks,signal_sell_ticks,signal_neutral_ticks,final_position_sum,max_abs_position,avg_abs_position,fill_rate,score,stage,combo_index,elapsed_seconds
2.0,0.5,10,1,0.1,"-2,-1,0",20730.0,6910.0,0.04086070212212987,210.0,8689,315,9004,83,77,160,13667,2726,13607,30,20,5.770333333333333,0.01776988005330964,20637.5,stage2_targeted,27,5.709375200000068
2.0,1.0,10,0,0.1,"-2,-1,0",20680.0,6893.333333333333,0.03878035529074155,210.0,6653,229,6882,57,53,110,12551,1040,16409,20,20,5.9685,0.015983725661145014,20587.5,stage2_targeted,82,4.710628900000302
2.0,0.25,10,0,0.1,"-2,-1,0",18912.5,6304.166666666667,0.0414381138572611,210.0,10106,365,10471,83,78,161,13299,2953,13748,25,20,5.053,0.015375799828096648,18820.0,stage2_targeted,2,4.99107659999936
2.0,0.5,10,0,0.1,"-2,-1,0",18897.5,6299.166666666667,0.04133709786995258,210.0,9970,351,10321,82,77,159,13163,2814,14023,25,20,5.058166666666667,0.015405483964732099,18805.0,stage2_targeted,22,5.289203399999678
2.0,1.25,40,0,0.1,"-2,-1,0",7340.0,2446.6666666666665,0.03790311887165898,210.0,6963,444,7407,47,46,93,7162,2453,20385,5,20,1.719,0.012555690562980963,7247.5,stage2_targeted,62,6.486014300000534
2.0,1.25,40,1,0.1,"-2,-1,0",6925.0,2308.3333333333335,0.036901194924178114,200.0,6723,380,7103,54,50,104,7086,2529,20385,20,20,1.548,0.014641700689849359,6835.0,stage2_targeted,67,6.206772699999419
2.0,1.25,40,0,0.0,"-2,-1,0",5430.0,1810.0,0.04037602154048747,105.0,5566,745,6311,38,37,75,5566,2811,21623,5,10,1.2066666666666668,0.011884012042465536,5383.75,stage2_targeted,61,6.690642699999444
2.0,1.25,40,1,0.0,"-2,-1,0",5310.0,1770.0,0.03933726772730395,105.0,5566,634,6200,44,42,86,5566,2811,21623,10,10,1.1395,0.013870967741935483,5263.75,stage2_targeted,66,6.245849699998871
2.0,0.25,10,0,0.0,"-2,-1,0",5042.5,1680.8333333333333,0.03830536076245498,157.5,6330,1189,7519,44,43,87,6330,5489,18181,5,15,1.0765,0.01157068759143503,4973.125,stage2_targeted,1,5.051588499998616
2.0,0.5,10,0,0.0,"-2,-1,0",4982.5,1660.8333333333333,0.037988586231732714,157.5,6158,1149,7307,43,42,85,6158,5280,18562,5,15,1.0693333333333335,0.01163268099083071,4913.125,stage2_targeted,21,5.037744200000816
2.0,0.75,10,0,0.0,"-2,-1,0",4877.5,1625.8333333333333,0.03934781958147187,105.0,5672,985,6657,41,40,81,5672,4372,19956,5,10,1.0408333333333333,0.01216764308246958,4831.25,stage2_targeted,41,5.360787600000549
2.0,0.25,10,1,0.0,"-2,-1,0",4657.5,1552.5,0.03678878677174723,105.0,6330,1122,7452,46,45,91,6330,5489,18181,5,15,1.0305,0.012211486849168009,4601.25,stage2_targeted,6,5.228886400000192
2.0,0.75,10,1,0.0,"-2,-1,0",4602.5,1534.1666666666667,0.03784842420978501,80.0,5672,950,6622,43,42,85,5672,4372,19956,5,10,1.0228333333333335,0.01283600120809423,4562.5,stage2_targeted,46,4.800298000000112
2.0,0.5,10,1,0.0,"-2,-1,0",4617.5,1539.1666666666667,0.03655054990893054,105.0,6158,1086,7244,45,44,89,6158,5280,18562,5,15,1.0266666666666666,0.012286029817780231,4561.25,stage2_targeted,26,5.144655800000692
2.0,1.0,10,0,0.0,"-2,-1,0",4215.0,1405.0,0.035711905251948124,105.0,5131,518,5649,35,35,70,5131,2409,22460,0,10,0.8791666666666668,0.012391573729863693,4168.75,stage2_targeted,81,5.180299699999523
2.0,1.0,10,1,0.0,"-2,-1,0",4090.0,1363.3333333333333,0.034186412913625376,105.0,5131,502,5633,37,37,74,5131,2830,22039,0,10,0.8756666666666666,0.013136872004260607,4043.75,stage2_targeted,86,4.679553100000703
